location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Svalbard,Endalen,NNW moss,2016,warming,A8,b,G,3,A8.bG3,2.050,1.1624,,,37.9,3,,BISVIV,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,a,R,3,A8.aR3,2.222,1.8127,,,36.9,4,,BISVIV,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,A8,b,R,3,A8.bR3,2.263,1.8717,,,37.9,5,,BISVIV,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,a,G,F,A9.aGF,2.053,0.9876,,,36.1,3,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,b,G,F,A9.bGF,1.889,1.0645,,,44.1,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,a,R,F,A9.aRF,2.188,1.7293,,,36.1,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,b,R,F,A9.bRF,2.141,1.7661,,,44.1,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,a,G,3,A9.aG3,2.010,1.1095,,,37.6,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,b,G,3,A9.bG3,2.110,1.111,,,41.6,8,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,a,R,3,A9.aR3,2.200,1.7628,,,37.6,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,A9,b,R,3,A9.bR3,2.179,1.7456,,,41.6,6,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,a,G,F,B1.aGF,1.958,1.0326,,,34.6,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,b,G,F,B1.bGF,2.080,0.9398,,,41.4,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,a,R,F,B1.aRF,2.274,1.8133,,,34.6,6,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,b,R,F,B1.bRF,2.268,1.7035,,,41.4,5,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,a,G,3,B1.aG3,2.095,0.8377,,,49.3,5,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,b,G,3,B1.bG3,1.966,0.9367,,,49,10,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,a,R,3,B1.aR3,2.178,1.6104,,,49.3,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B1,b,R,3,B1.bR3,2.178,1.7446,,,49,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,a,G,F,B10.aGF,2.081,0.9955,,,42.3,7,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,b,G,F,B10.bGF,2.125,0.8407,,,35.2,8,,,9,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,a,R,F,B10.aRF,2.194,1.7646,,,42.3,7,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,b,R,F,B10.bRF,2.219,NA,,,35.2,8,,,9,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,a,G,3,B10.aG3,2.026,1.1043,,,47.7,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,b,G,3,B10.bG3,1.956,NA,,,52.5,8,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,a,R,3,B10.aR3,2.155,1.6265,,,47.7,7,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B10,b,R,3,B10.bR3,2.203,1.7917,,,52.5,8,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,a,G,F,B11.aGF,2.051,0.9566,,,62.4,6,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,b,G,F,B11.bGF,2.172,0.9512,,,44,11,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,a,R,F,B11.aRF,2.231,1.8411,,,62.4,5,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,b,R,F,B11.bRF,2.202,1.5751,,,44,14,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,a,G,3,B11.aG3,2.072,0.9134,,,45.6,9,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,b,G,3,B11.bG3,2.074,0.9434,,,69.5,12,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,a,R,3,B11.aR3,2.225,1.6322,,,45.6,6,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B11,b,R,3,B11.bR3,2.208,1.5806,,,69.5,13,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,a,G,F,B12.aGF,1.982,1.1458,,,58.2,13,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,b,G,F,B12.bGF,2.096,0.7318,,,63.8,9,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,a,R,F,B12.aRF,2.188,1.919,,,58.2,13,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,b,R,F,B12.bRF,2.206,1.8492,,,63.8,9,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,a,G,3,B12.aG3,2.113,0.8195,,,59.3,11,,,11,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,b,G,3,B12.bG3,2.054,0.9452,,,70.3,7,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,a,R,3,B12.aR3,2.145,1.7943,,,59.3,11,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B12,b,R,3,B12.bR3,2.158,1.7525,,,70.3,9,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,a,G,F,B13.aGF,1.927,0.9975,,,63.3,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,b,G,F,B13.bGF,2.129,0.9095,,,73.6,9,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,a,R,F,B13.aRF,2.241,1.6716,,,63.3,3,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,b,R,F,B13.bRF,2.260,1.7884,,,73.6,8,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,a,G,3,B13.aG3,2.016,0.9306,,,61.5,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,b,G,3,B13.bG3,1.972,0.6558,,,71,7,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,a,R,3,B13.aR3,2.196,1.968,,,61.5,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B13,b,R,3,B13.bR3,2.236,1.6865,,,71,8,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,a,G,F,B14.aGF,1.972,0.9206,,,42.2,8,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,b,G,F,B14.bGF,2.063,0.798,,,45.6,10,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,a,R,F,B14.aRF,2.242,1.6202,,,42.2,11,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,b,R,F,B14.bRF,2.185,1.7009,,,45.6,9,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,a,G,3,B14.aG3,1.946,1.0596,,,44.8,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,b,G,3,B14.bG3,2.052,0.6484,,,34.3,4,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,a,R,3,B14.aR3,2.225,1.7004,,,44.8,8,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,control,B14,b,R,3,B14.bR3,2.251,1.6326,,,34.3,6,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,a,G,F,B15.aGF,2.036,NA,,,38.9,5,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,b,G,F,B15.bGF,2.078,0.9444,,,69.4,8,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,a,R,F,B15.aRF,2.210,NA,,,38.9,8,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,b,R,F,B15.bRF,2.194,1.6815,,,69.4,8,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,a,G,3,B15.aG3,2.019,1.0529,,,64.9,9,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,b,G,3,B15.bG3,1.970,1.0208,,,69,4,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,a,R,3,B15.aR3,2.155,2.0901,,,64.9,10,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B15,b,R,3,B15.bR3,2.250,1.7997,,,69,9,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,a,G,F,B2.aGF,2.098,0.8799,,,54.9,6,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,b,G,F,B2.bGF,2.081,0.9601,,,51.3,5,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,a,R,F,B2.aRF,2.243,1.476,,,54.9,6,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,b,R,F,B2.bRF,2.185,1.5614,,,51.3,5,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,a,G,3,B2.aG3,2.095,1.0475,,,55.8,1,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,b,G,3,B2.bG3,2.107,0.8991,,,68.7,0,1,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,a,R,3,B2.aR3,2.215,1.7716,,,55.8,2,,,9,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B2,b,R,3,B2.bR3,2.172,1.5472,,,68.7,4,,,7,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,a,G,F,B3.aGF,2.133,0.832,,,69.5,12,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,b,G,F,B3.bGF,1.913,0.9691,,,66,2,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,a,R,F,B3.aRF,2.184,1.5616,,,69.5,12,,,4,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,b,R,F,B3.bRF,2.188,1.6636,,,66,3,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,a,G,3,B3.aG3,2.012,0.8041,,,58.6,4,,,8,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,b,G,3,B3.bG3,1.912,0.9088,,,59.2,8,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,a,R,3,B3.aR3,2.188,1.4901,,,58.6,4,,,9,,,,,,,
Svalbard,Endalen,NNW moss,2016,exclosure,B3,b,R,3,B3.bR3,2.217,1.5707,,,59.2,8,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B4,a,G,F,B4.aGF,1.958,1.0251,,,36.3,4,,,3,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B4,b,G,F,B4.bGF,2.089,1.0141,,,29.8,6,,,5,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B4,a,R,F,B4.aRF,2.162,1.6216,,,36.3,3,,,6,,,,,,,
Svalbard,Endalen,NNW moss,2016,warming,B4,b,R,F,B4.bRF,2.144,1.6012,,,29.8,6,,,4,,,,,,,
